Slime ID, Wave Number, Fitness Pool, Min Path Distance To Sheep, Total Path Distance,Sheep Distance Fitness,Parent One, Parent Two, Main Type, Secondary Type,Main Resistance Gene, Main Resistance Trait, Secondary Resistance Gene, Secondary Resistance Trait, Tower Attraction Gene, Tower Attraction Trait, Slime Optimal Distance Gene, Slime Optimal Distance Trait, Speed Gene, Speed Trait, Turn Rate Gene, Turn Rate Trait, Time Alive After Increased Alignment Strength,
37, 7, 0, 87.27082, 90.69251, 566.4386, 101,147,Basic,Shock,0.55,0.55,0.35,0.35,-3.925071,2.064169,-0.3760881,0.3961814,8.07348,7.055108,-0.1588643,0.3186817,0,
38, 7, 0, 103.5531, 108.433, 478.226, 36,93,Basic,Basic,0.55,0.55,0.35,0.35,3.347083,4.223882,-0.2001078,0.4310504,1.775817,3.090578,-0.3227132,0.3108792,0,
39, 7, 0, 131.5259, 140.8928, 377.2849, 265,240,Blaster,Basic,0.55,0.55,0.35,0.35,-2.33649,2.141558,-0.7277766,0.3344331,-0.6889895,2.227246,-4.136993,0.1872146,0,
40, 7, 0, 110.1015, 118.1194, 450.0388, 240,277,Basic,Laser,0.55,0.55,0.35,0.35,-1.597844,2.204283,-1.832543,0.1952634,2.771185,3.555462,-2.901254,0.2168426,0,
41, 7, 0, 74.20775, 77.22607, 664.8251, 104,169,Blaster,Blaster,0.55,0.55,0.35,0.35,-3.064255,2.098549,0.5931963,0.6277293,1.54123,2.991258,-2.597273,0.225459,0,
42, 7, 0, 72.66022, 75.50145, 678.7925, 145,39,Blaster,Blaster,0.55,0.55,0.35,0.35,-1.878002,2.177771,-0.4508382,0.3822029,-0.4350164,2.298986,0.7516641,0.3667343,0,
43, 7, 0, 126.9286, 134.2485, 390.843, 36,287,Basic,Blaster,0.55,0.55,0.35,0.35,-0.3090107,2.386277,-0.7277766,0.3344331,0.1496595,2.478251,3.354893,0.5530272,0,
44, 7, 0, 131.8677, 138.0436, 376.3142, 228,234,Basic,Blaster,0.55,0.55,0.35,0.35,2.380455,3.419959,-0.8426495,0.3163562,-3.298103,1.672158,-4.882007,0.1729628,0,
45, 7, 0, 90.70161, 94.93975, 545.2466, 29,290,Blaster,Blaster,0.55,0.55,0.35,0.35,1.075787,2.760247,-5.84193,0.02675433,-0.3429903,2.325878,2.322207,0.4700214,0,
46, 7, 0, 110.76, 116.0599, 447.3873, 133,33,Laser,Blaster,0.55,0.55,0.35,0.35,1.999666,3.185458,0.6614579,0.6481115,2.425662,3.386034,-3.613472,0.1987759,0,
47, 7, 0, 111.0066, 118.2813, 446.4023, 133,35,Basic,Basic,0.55,0.55,0.35,0.35,1.515859,2.940322,-2.083105,0.1726679,2.381831,3.365156,3.475531,0.5635145,0,
48, 7, 0, 108.4929, 113.5598, 456.6508, 265,110,Blaster,Basic,0.55,0.55,0.35,0.35,-2.626161,2.122564,-0.7277766,0.3344331,3.944812,4.194849,1.875827,0.4378981,0,
49, 7, 0, 80.29649, 86.19794, 615.0327, 137,70,Blaster,Fire,0.55,0.55,0.35,0.35,-0.8599999,2.294355,-1.333544,0.2492187,4.818046,4.731897,1.392589,0.4056315,0,
50, 7, 0, 111.0595, 117.3989, 446.1915, 31,146,Blaster,Basic,0.55,0.55,0.35,0.35,1.775945,3.065346,-2.898778,0.1155072,0.8117498,2.706508,4.339077,0.6432683,0,
51, 7, 0, 72.03126, 76.15223, 684.6384, 98,39,Blaster,Blaster,0.55,0.55,0.35,0.35,-2.254364,2.147457,-0.4508382,0.3822029,4.877759,4.77039,0.7516641,0.3667343,0,
52, 7, 0, 91.5946, 95.94483, 539.9883, 199,47,Blaster,Shock,0.55,0.55,0.35,0.35,2.338627,3.392207,1.245649,0.8492982,1.761063,3.084218,-1.184512,0.2737439,0,
53, 7, 0, 91.39587, 96.2784, 541.1498, 242,70,Blaster,Basic,0.55,0.55,0.35,0.35,-2.468905,2.132537,-0.7277766,0.3344331,4.818046,4.731897,0.6785434,0.3625703,0,
54, 7, 0, 109.2755, 115.6206, 453.4099, 178,114,Laser,Blaster,0.55,0.55,0.35,0.35,-2.542324,2.127784,-1.543227,0.2249713,4.58451,4.583454,-2.333641,0.2334062,0,
55, 7, 0, 97.59473, 101.5728, 507.1265, 89,137,Blaster,Basic,0.55,0.55,0.35,0.35,0.5910641,2.600551,-1.333544,0.2492187,7.039618,6.283154,-2.901254,0.2168426,0,
56, 7, 0, 90.11015, 93.72437, 548.7863, 250,174,Blaster,Blaster,0.55,0.55,0.35,0.35,1.075787,2.760247,1.543175,0.9722788,4.818046,4.731897,0.4321854,0.3489416,0,
57, 7, 0, 126.6657, 132.8123, 391.6479, 14,184,Basic,Basic,0.55,0.55,0.35,0.35,-1.936645,2.172669,-1.543227,0.2249713,7.039618,6.283154,-5.2699,0.1664554,0,
58, 7, 0, 128.6603, 133.8049, 385.623, 126,75,Laser,Fire,0.55,0.55,0.35,0.35,-1.694193,2.19475,-0.4508382,0.3822029,3.735483,4.073679,-1.055678,0.2788956,0,
59, 7, 0, 107.0376, 112.0776, 462.8018, 141,73,Basic,Basic,0.55,0.55,0.35,0.35,-0.5556695,2.342071,-2.435216,0.1451991,1.444815,2.951547,-2.598044,0.2254364,0,
60, 7, 0, 129.0435, 135.2689, 384.4866, 180,84,Basic,Basic,0.55,0.55,0.35,0.35,-4.298067,2.053275,-2.840842,0.1188619,3.13839,3.744958,0.9055068,0.3756754,0,
61, 7, 0, 110.188, 114.5824, 449.6888, 164,214,Basic,Shock,0.55,0.55,0.35,0.35,-1.20452,2.248239,-2.754286,0.1240537,3.377702,3.873668,-3.861362,0.1931313,0,
62, 7, 0, 107.6434, 113.3738, 460.2213, 252,258,Blaster,Basic,0.55,0.55,0.35,0.35,-0.556386,2.34195,-0.5086322,0.3717211,0.6160626,2.636141,0.4321854,0.3489416,0,
63, 7, 0, 129.3724, 135.3751, 383.5168, 277,226,Shock,Shock,0.55,0.55,0.35,0.35,-0.8599999,2.294355,-0.7277766,0.3344331,-3.323758,1.6681,-1.268566,0.2704551,0,
64, 7, 0, 97.9227, 102.6933, 505.4452, 199,102,Blaster,Laser,0.55,0.55,0.35,0.35,2.292589,3.362252,0.03033164,0.4811574,-1.004477,2.143036,-1.189519,0.2735464,0,
65, 7, 0, 111.7608, 116.9989, 443.4164, 42,227,Acid,Blaster,0.55,0.55,0.35,0.35,-2.809142,2.111897,1.629369,1.010769,-0.04642373,2.415877,6.313932,0.8526923,0,
66, 7, 0, 106.6309, 116.3883, 464.5506, 26,112,Blaster,Basic,0.55,0.55,0.35,0.35,-2.820111,2.111287,-3.189027,0.1000601,1.595561,3.013919,-1.020949,0.2803075,0,
67, 7, 0, 110.6805, 116.7707, 447.7059, 195,70,Blaster,Basic,0.55,0.55,0.35,0.35,-0.8599999,2.294355,-3.783047,0.07453995,4.818046,4.731897,0.9341166,0.3773654,0,
68, 7, 0, 58.64132, 60.97597, 838.345, 153,242,Blaster,Blaster,0.55,0.55,0.35,0.35,-2.468905,2.132537,-0.4508382,0.3822029,3.735483,4.073679,-2.901254,0.2168426,0,
69, 7, 0, 94.86655, 98.6661, 521.5583, 137,224,Laser,Blaster,0.55,0.55,0.35,0.35,1.075787,2.760247,-1.333544,0.2492187,-0.3429903,2.325878,-0.3414056,0.3100047,0,
70, 7, 0, 129.5888, 136.7318, 382.8812, 48,243,Basic,Fire,0.55,0.55,0.35,0.35,0.7378606,2.645108,0.5931963,0.6277293,1.965962,3.173918,-6.575287,0.1484228,0,
71, 7, 0, 128.8393, 134.9491, 385.0913, 186,55,Basic,Ice,0.55,0.55,0.35,0.35,-1.936645,2.172669,-1.59242,0.2196254,4.500354,4.5308,-1.122484,0.2762073,0,
72, 7, 0, 94.71012, 100.1336, 522.4108, 106,188,Blaster,Acid,0.55,0.55,0.35,0.35,-1.472986,2.217328,2.411727,1.425663,4.818046,4.731897,-1.004793,0.2809677,0,
73, 7, 0, 109.4375, 115.8613, 452.7449, 142,127,Blaster,Basic,0.55,0.55,0.35,0.35,-1.936645,2.172669,0.5664015,0.6198933,-4.093738,1.55654,0.7516641,0.3667343,0,
74, 7, 0, 91.31557, 96.10635, 541.6204, 70,264,Blaster,Ice,0.55,0.55,0.35,0.35,-1.113755,2.259645,-0.7277766,0.3344331,3.292451,3.827348,0.9055068,0.3756754,0,
